城市,价格,出游人数,评论数,详细出游人数,满意度,来回交通工具,行程天数,住宿类型,好评数,目的地,编号
 ,3193,0,0,0,9.9, ,4天3晚 ,舒适型酒店,0,成都、乐山、四川,1448000162
 ,3193,0,29,0,9.5,全程汽车,7天6晚 ,高档型酒店,29, ,4289505810
 ,3193,0,79,0,9.5,全程汽车,7天6晚 ,高档型酒店,75, ,4289505810
 ,3193,0,30,0,9.1,全程汽车,6天5晚 ,舒适型酒店,30,厦门、福建、龙岩、南平、漳州、泉州,2814636250
 ,3193,0,25,0,9.1,全程汽车,6天5晚 ,舒适型酒店,25,厦门、福建、龙岩、南平、漳州、泉州,2814636250
 ,4580,0,0,0,9.5, ,9天8晚 ,哈尔滨江洪宾馆,0,哈尔滨、大兴安岭、牡丹江、大庆,4059279900
 ,4580,0,0,0,9.8, ,2天1晚 ,雪乡农家暖炕4-...,0,黑龙江、哈尔滨、牡丹江,1222969368
 ,4580,0,0,0,9.8, ,2天1晚 ,雪乡农家暖炕4-...,0,黑龙江、哈尔滨、牡丹江,1222969368
 ,4580,0,27,0,9.2, ,2天1晚 ,舒适型酒店,27, ,3217137536
 ,4580,0,31,0,9.5, ,2天1晚 ,二星及其他酒店,31, ,2084158815
 ,4580,0,27,0,10, ,5天4晚 ,二星及其他酒店,27, ,3538252321
 ,4580,0,39,0,9.8, ,2天1晚 ,农家暖炕4人间,39,黑龙江、哈尔滨、牡丹江,966498450
 ,3193,0,30,0,9.1,全程汽车,6天5晚 ,舒适型酒店,26,厦门、福建、龙岩、南平、漳州、泉州,2814636250
 ,4580,0,0,0,9.8, ,2天1晚 ,农家暖炕4人间,0,黑龙江、哈尔滨、牡丹江,966498450
 ,4580,0,28,0,9.8, ,2天1晚 ,农家暖炕4人间,28,黑龙江、哈尔滨、牡丹江,966498450
 ,4580,0,0,0,9.6, ,1天, ,0, ,3069485150
 ,4580,0,410,0,9.7, ,3天2晚 ,五星酒店,409, ,4012611727
 ,4580,0,0,0,9.2, ,3天2晚 ,舒适型酒店,0, ,2717523399
 ,4580,0,37,0,9.2, ,3天2晚 ,舒适型酒店,37, ,2717523399
 ,4580,0,0,0,9.8, ,4天3晚 ,亚布力温泉国际度...等,0,黑龙江、哈尔滨、牡丹江,3396027884
 ,4580,0,0,0,9.9, ,3天2晚 ,舒适型酒店,0, ,3279461060
 ,4580,0,0,0,9.9, ,3天2晚 ,舒适型酒店,0, ,3279461060
 ,4580,0,54,0,9.7, ,4天3晚 ,舒适型酒店,53, ,738544289
 ,4580,0,2,0,9.8, ,3天2晚 ,豪华型酒店,2, ,4191816350
 ,4580,0,33,0,10, ,2天1晚 ,高档型酒店,33, ,851448428
 ,4580,0,0,0,10, ,2天1晚 ,高档型酒店,0, ,851448428
 ,4580,0,36,0,9.3, ,6天5晚 ,高档型酒店,36,哈尔滨、牡丹江,760474719
 ,4580,0,0,0,9.2, ,2天1晚 ,高档型酒店,0, ,140580088
 ,4580,0,0,0,9.2, ,2天1晚 ,高档型酒店,0, ,140580088
 ,4580,0,0,0,9.2, ,2天1晚 ,高档型酒店,0, ,140580088
 ,4580,0,32,0,9.2, ,2天1晚 ,豪华型酒店,32, ,904562228
 ,4580,0,3,0,9.2, ,2天1晚 ,豪华型酒店,3, ,904562228
 ,4580,0,0,0,9.5, ,5天4晚 ,高档型酒店,0, ,4270158370
